routeid,stopid,estimatetime,goback
17700,187088,-3,3
17700,187089,-3,3
16565,187098,-3,3
16552,187091,-3,3
16552,187092,-3,3
16552,187093,-3,3
17700,187090,-3,3
17693,187099,-3,3
17700,187066,-3,3
17700,187067,-3,3
17700,187068,-3,3
17700,187069,-3,3
17700,187073,-3,3
17700,187074,-3,3
17700,187075,-3,3
17700,187076,-3,3
17700,187070,-3,3
17700,187071,-3,3
17700,187072,-3,3
17700,187077,-3,3
17700,187078,-3,3
17700,187079,-3,3
17700,187084,-3,3
17700,187085,-3,3
17700,187086,-3,3
17700,187087,-3,3
17700,187080,-3,3
17700,187081,-3,3
17700,187082,-3,3
17700,187083,-3,3
16485,128750,1251,0
16485,128751,1328,0
16485,128752,1417,0
16485,128753,1563,0
16485,128754,1678,0
16485,128744,630,0
16485,128745,692,0
16485,128746,720,0
16485,128747,982,0
16485,128748,1061,0
16485,128749,1189,0
16485,128741,438,0
16485,128742,492,0
16485,128743,553,0
16485,128738,-3,3
16485,128739,-3,3
16581,138103,127,0
16581,138104,214,0
16581,138101,1260,0
16581,138102,74,0
16581,138100,1213,0
16581,138109,615,0
16581,138107,400,0
16581,138108,502,0
16581,138105,278,0
16581,138106,308,0
16581,138114,126,0
16581,138115,294,0
16581,138112,905,0
16581,138113,39,0
16581,138110,747,0
16581,138111,824,0
16485,128791,1779,0
16485,128792,1853,0
16485,128793,1965,0
16485,128794,2053,0
16485,128795,2212,0
16485,128796,2285,0
16485,128797,2442,0
16485,128798,2543,0
16485,128790,1663,0
16485,128788,1475,0
16485,128789,1541,0
16485,128780,483,0
16485,128781,574,0
16485,128782,713,0
16485,128783,831,0
16485,128784,1049,0
16485,128785,1238,0
16485,128786,1379,0
16485,128787,1426,0
16485,128777,162,0
16485,128778,227,0
16485,128779,281,0
16485,128770,3398,0
16485,128771,3482,0
16485,128772,3628,0
16485,128773,3735,0
16485,128774,0,0
16485,128775,57,0
16485,128776,110,0
16485,128766,2885,0
16485,128767,2920,0
16485,128768,3081,0
16485,128760,2400,0
16485,128761,2435,0
16485,128762,2547,0
16485,128763,2622,0
16485,128764,2754,0
16485,128765,2807,0
16485,128755,1892,0
16485,128756,2002,0
16485,128757,2060,0
16485,128758,2211,0
16485,128759,2233,0
16579,138039,-3,3
19048,212609,1342,0
16579,138040,-3,3
16579,138041,-3,3
19048,212605,288,0
17500,177638,4737,0
17500,177639,-3,3
17500,177636,4557,0
19048,212607,404,0
17500,177637,4715,0
19048,212608,922,0
17500,177634,4432,0
19048,212601,2688,2
16580,138048,-3,3
17500,177635,4486,0
19048,212602,2767,2
16580,138049,-3,3
17500,177632,4356,0
19048,212603,2795,2
16579,138046,-3,3
17500,177633,4398,0
19048,212604,3433,2
16579,138047,-3,3
17500,177630,4265,0
16579,138044,-3,3
17500,177631,4300,0
16579,138045,-3,3
16579,138042,-3,3
19048,212600,2563,2
16579,138043,-3,3
16580,138051,-3,3
16580,138052,-3,3
17500,177629,4200,0
16580,138050,-3,3
17500,177627,4052,0
19048,212616,2331,0
17500,177628,4095,0
19048,212617,2378,0
17500,177625,3948,0
19048,212618,2412,0
19048,212619,2452,0
16581,138059,-1,2
17500,177623,3833,0
19048,212612,1992,0
17500,177624,3918,0
19048,212613,2034,0
17500,177621,3754,0
19048,212614,2070,0
16580,138057,-3,3
19048,212615,2110,0
17500,177622,3794,0
16580,138055,-3,3
17500,177620,3707,0
16580,138056,-3,3
19048,212610,1789,0
16580,138053,-3,3
19048,212611,1887,0
16580,138054,-3,3
17500,177660,-3,3
16581,138062,-1,2
16581,138063,-1,2
16581,138060,-1,2
16581,138061,-1,2
17500,177658,-3,3
17500,177659,-3,3
17500,177656,-3,3
16282,212623,577,1
17500,177657,-3,3
16397,212624,105,1
16581,138068,94,0
17500,177654,-3,3
16581,138069,159,0
17500,177655,-3,3
16581,138066,-1,2
17500,177652,-3,3
16581,138067,0,0
17500,177653,-3,3
19048,212620,2551,0
16581,138064,-1,2
16581,138065,-1,2
17500,177651,-3,3
16581,138073,-4,2
16581,138074,544,0
16581,138071,328,0
16581,138072,407,0
17500,177649,-3,3
16581,138070,212,0
17500,177647,-3,3
17500,177648,-3,3
17500,177645,-3,3
17500,177646,-3,3
17500,177643,-3,3
16581,138079,147,0
17500,177644,-3,3
17500,177641,-3,3
16581,138077,773,0
17500,177642,-3,3
16581,138075,658,0
17500,177640,-3,3
16581,138076,-4,2
16579,138004,-3,3
16579,138005,-3,3
16579,138002,-3,3
16579,138003,-3,3
16579,138000,-3,3
16579,138001,-3,3
16579,138008,-3,3
16579,138009,-3,3
16579,138006,-3,3
16579,138007,-3,3
16579,138015,-3,3
16579,138016,-3,3
16579,138013,-3,3
16579,138014,-3,3
16579,138011,-3,3
16579,138012,-3,3
16579,138010,-3,3
16579,138019,-3,3
16579,138017,-3,3
16579,138018,-3,3
17500,177618,3566,0
17500,177619,3667,0
17500,177616,3486,0
17500,177617,3504,0
17500,177614,3449,0
17500,177615,3474,0
17500,177612,3277,0
16579,138026,-3,3
17500,177613,3387,0
16579,138027,-3,3
17500,177610,3161,0
16579,138024,-3,3
17500,177611,3238,0
16579,138025,-3,3
16579,138022,-3,3
16579,138023,-3,3
16579,138020,-3,3
16579,138021,-3,3
19068,212683,-3,3
19068,212684,-3,3
16579,138028,-3,3
16579,138029,-3,3
17500,177609,3125,0
16579,138030,-3,3
17500,177607,3051,0
17500,177608,3083,0
17500,177605,2974,0
17500,177606,3025,0
17500,177603,2879,0
17500,177604,2928,0
17500,177601,2732,0
16579,138037,-3,3
17500,177602,2850,0
16579,138038,-3,3
16579,138035,-3,3
17500,177600,2687,0
16579,138036,-3,3
16579,138033,-3,3
16579,138034,-3,3
16579,138031,-3,3
16579,138032,-3,3
19068,212692,-3,3
19068,212693,-3,3
19068,212694,-3,3
19068,212695,-3,3
19068,212690,-3,3
19068,212691,-3,3
17700,187048,-3,3
17700,187049,-3,3
17013,163079,-3,3
17700,187044,-3,3
17013,163077,-3,3
17700,187045,-3,3
17013,163078,-3,3
17700,187046,-3,3
17013,163075,-3,3
17700,187047,-3,3
17013,163076,-3,3
17700,187051,-3,3
17013,163084,-3,3
17700,187052,-3,3
17013,163085,-3,3
17700,187053,-3,3
17013,163082,-3,3
17700,187054,-3,3
17013,163083,-3,3
17013,163080,-3,3
17013,163081,-3,3
17700,187050,-3,3
19068,212689,-3,3
19068,212685,-3,3
19068,212686,-3,3
19068,212687,-3,3
19068,212688,-3,3
17700,187059,-3,3
17013,163068,-3,3
17013,163069,-3,3
17013,163066,-3,3
17700,187055,-3,3
17013,163067,-3,3
17700,187056,-3,3
17013,163064,-3,3
17700,187057,-3,3
17013,163065,-3,3
17700,187058,-3,3
17013,163073,-3,3
17700,187062,-3,3
17013,163074,-3,3
17700,187063,-3,3
17013,163071,-3,3
17700,187064,-3,3
17013,163072,-3,3
17700,187065,-3,3
17013,163070,-3,3
17700,187060,-3,3
17700,187061,-3,3
19068,212696,-3,3
19068,212697,-3,3
19068,212698,-3,3
19068,212699,-3,3
17700,187028,-3,3
17700,187029,-3,3
16777,187022,-3,3
17013,163099,-3,3
16777,187023,-3,3
16777,187024,288,0
17013,163097,-3,3
17013,163098,-3,3
17700,187030,-3,3
17700,187031,-3,3
17700,187032,-3,3
17700,187037,-3,3
17700,187038,-3,3
17700,187039,-3,3
17013,163088,-3,3
17700,187033,-3,3
17013,163089,-3,3
17700,187034,-3,3
17013,163086,-3,3
17700,187035,-3,3
17013,163087,-3,3
17700,187036,-3,3
17013,163095,-3,3
17700,187040,-3,3
17013,163096,-3,3
17700,187041,-3,3
17013,163093,-3,3
17700,187042,-3,3
17013,163094,-3,3
17700,187043,-3,3
17013,163091,-3,3
