id,providerid,providername,namezh,nameen,pathattributeid,pathattributename,pathattributeename,buildperiod,departurezh,departureen,destinationzh,destinationen,realsequence,distance,gofirstbustime,backfirstbustime,golastbustime,backlastbustime,peakheadway,offpeakheadway,bustimedesc,headwaydesc,holidaygofirstbustime,holidaybackfirstbustime,holidaygolastbustime,holidaybacklastbustime,holidaybustimedesc,holidaypeakheadway,holidayoffpeakheadway,holidayheadwaydesc,segmentbufferzh,segmentbufferen,ticketpricedescriptionzh,ticketpricedescriptionen
16906,16243,三峽區公所,F623,F623,158033,F623,F623,10,三鶯國民運動中心,"Sanying Public Sports Center",福慶宮,"Fuqing Temple",99,99,0630,0630,1750,1750,,,,,0630,0630,1720,1720,,,,,,,,
16907,16243,三峽區公所,F625,F625,158034,F625,F625,10,大仁路大勇路口,"Daren & Dayong Intersection",明德中學,"Mingde Junior High School",99,99,0600,0600,1750,1750,,,,,0600,0600,1750,1750,,,,,,,,
16908,16243,三峽區公所,F626,F626,158035,F626新市民-行修宮-天后宮,F626,10,三峽國小,"Sanxia Elementary School",白雞行修宮,"Baiji Xingxiu Temple",99,99,1015,1015,1830,1830,,,,13:30、18:30班次不行駛紫微天后宮,1015,1015,1830,1830,,,,13:30、18:30班次不行駛紫微天后宮,,,,
16909,16243,三峽區公所,F627,F627,158036,F627,F627,10,三峽國小,"Sanxia Elementary School",五寮,Wuliao,99,99,0700,0700,1630,1630,,,,,0730,0730,1800,1800,,,,,,,,
16910,16243,三峽區公所,F628,F628,158037,F628,F628,10,三峽國小,"Sanxia Elementary School",湊合橋,"Couhe Bridge",99,99,0600,0600,1730,1730,,,,,0600," ",1730," ",,,,假日及國定假日行駛至松益化工迴轉,,,,
16912,16243,三峽區公所,F629,F629,158039,F629延駛四份仔,F629,10,文化停車場,"Wenhua Parking Lot",鹿母潭,Lumutan,99,99,0615,0615,1730,1730,,,,"每日06:15 11:15二班次加行駛路線-安新站、四份仔",0615,0615,1830,1830,,,,"06:15 11:15 11:25(星期日)班次加行駛路線-安新站、四份仔",,,,
16914,16243,三峽區公所,F630,F630,158041,F630長福停車場,"F630Changfu Parking Lot",10,長福停車場,"Changfu Parking Lot",長庚醫院林口總院,"Chang-Gung Memorial Hospital Linkou Branch",99,99,0700,1000,1300,1630,,,,,0700,1000,1300,1630,,,,,,,,
16914,16243,三峽區公所,F630,F630,158998,F630長庚醫院林口總院,"F630 Chang-Gung Memorial Hospital Linkou Branch",10,長福停車場,"Changfu Parking Lot",長庚醫院林口總院,"Chang-Gung Memorial Hospital Linkou Branch",99,99,0700,1000,1300,1630,,,,,0700,1000,1300,1630,,,,,,,,
16912,16243,三峽區公所,F629,F629,160437,F629,F629,10,文化停車場,"Wenhua Parking Lot",鹿母潭,Lumutan,99,99,0615,0615,1730,1730,,,,"每日06:15 11:15二班次加行駛路線-安新站、四份仔",0615,0615,1830,1830,,,,"06:15 11:15 11:25(星期日)班次加行駛路線-安新站、四份仔",,,,
16908,16243,三峽區公所,F626,F626,160438,F626新市民-行修宮,F626,10,三峽國小,"Sanxia Elementary School",白雞行修宮,"Baiji Xingxiu Temple",99,99,1015,1015,1830,1830,,,,13:30、18:30班次不行駛紫微天后宮,1015,1015,1830,1830,,,,13:30、18:30班次不行駛紫微天后宮,,,,
